start,end,duration,type
2024-07-05 11:59:00-04:00,2024-07-07 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-07-08 16:59:00-04:00,2024-07-08 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-09 16:59:00-04:00,2024-07-09 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-10 16:59:00-04:00,2024-07-10 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-11 16:59:00-04:00,2024-07-11 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-12 11:59:00-04:00,2024-07-14 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-07-15 16:59:00-04:00,2024-07-15 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-16 16:59:00-04:00,2024-07-16 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-17 16:59:00-04:00,2024-07-17 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-18 16:59:00-04:00,2024-07-18 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-19 11:59:00-04:00,2024-07-21 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-07-22 16:59:00-04:00,2024-07-22 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-23 16:59:00-04:00,2024-07-23 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-24 16:59:00-04:00,2024-07-24 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-25 16:59:00-04:00,2024-07-25 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-26 11:59:00-04:00,2024-07-28 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-07-29 16:59:00-04:00,2024-07-29 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-30 16:59:00-04:00,2024-07-30 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-07-31 16:59:00-04:00,2024-07-31 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-01 16:59:00-04:00,2024-08-01 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-02 11:59:00-04:00,2024-08-04 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-08-05 16:59:00-04:00,2024-08-05 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-06 16:59:00-04:00,2024-08-06 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-07 16:59:00-04:00,2024-08-07 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-08 16:59:00-04:00,2024-08-08 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-09 11:59:00-04:00,2024-08-11 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-08-12 16:59:00-04:00,2024-08-12 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-13 16:59:00-04:00,2024-08-13 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-14 16:59:00-04:00,2024-08-14 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-15 16:59:00-04:00,2024-08-15 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-16 11:59:00-04:00,2024-08-18 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
