entry_time,exit_time,pnl,reason
1702293000000,1702293000000,5.102318082368583,TP Hit
1702298760000,1702298760000,-1.4362886433518725,SL Hit
1702301160000,1702301160000,7.020914520930091,TP Hit
1702302900000,1702302900000,-4.390670302105718,SL Hit
1702303140000,1702303140000,-3.7865130283826147,SL Hit
1702311420000,1702311420000,-12.952421484111255,SL Hit
1702311540000,1702311540000,-5.455786891910975,SL Hit
1702311600000,1702311600000,-6.441087828203308,SL Hit
1702312260000,1702312260000,-15.546117749410769,SL Hit
1702313100000,1702313100000,-11.982989550877392,SL Hit
1702313220000,1702313220000,-5.173014957465057,SL Hit
1702313340000,1702313340000,10.053456349574844,TP Hit
1702314000000,1702314000000,9.0589546400588,TP Hit
1702314060000,1702314060000,21.9654578800546,TP Hit
1702322040000,1702322040000,5.0,TP Hit
1702322160000,1702322160000,16.899797489415505,TP Hit
1702323780000,1702323780000,-7.4510631859157,SL Hit
1702324200000,1702324200000,-3.7123927552311216,SL Hit
1702324500000,1702324500000,-2.12232011451124,SL Hit
1702327320000,1702327320000,-4.593018311359629,SL Hit
1702327380000,1702327380000,6.934643822649377,TP Hit
1702327620000,1702327620000,-12.532156060522539,SL Hit
1702327800000,1702327800000,13.010010633297497,TP Hit
1702328220000,1702328220000,-10.053258027757693,SL Hit
1702330020000,1702330020000,7.672278931335313,TP Hit
1702331400000,1702331400000,-4.448991055221995,SL Hit
1702331760000,1702331760000,5.0,TP Hit
1702338300000,1702338300000,-4.916104228250333,SL Hit
1702338360000,1702338360000,-1.8558114552070037,SL Hit
1702338720000,1702338720000,-1.797830486568273,SL Hit
1702340340000,1702340340000,-1.3274913420173107,SL Hit
1702344720000,1702344720000,5.0,TP Hit
1702345320000,1702345320000,-5.268254765011079,SL Hit
1702345740000,1702345740000,5.487306038834504,TP Hit
1702348620000,1702348620000,7.835676493283245,TP Hit
1702349220000,1702349220000,-1.8762893729290226,SL Hit
1702349340000,1702349340000,-0.8494115605717525,SL Hit
1702349580000,1702349580000,-1.8793849120193045,SL Hit
1702349940000,1702349940000,-0.8350059746371699,SL Hit
1702350060000,1702350060000,-3.3335000495644636,SL Hit
1702351020000,1702351020000,-0.7463723042819765,SL Hit
1702351500000,1702351500000,5.0,TP Hit
1702353060000,1702353060000,6.631482344862889,TP Hit
1702353240000,1702353240000,-1.0873776780063054,SL Hit
1702354380000,1702354380000,-1.2086018984773546,SL Hit
1702358940000,1702358940000,5.0,TP Hit
1702359300000,1702359300000,-2.029655007609108,SL Hit
1702361280000,1702361280000,-1.3804933090141276,SL Hit
1702361640000,1702361640000,-2.907171345235838,SL Hit
1702362180000,1702362180000,-1.8224341629029368,SL Hit
1702362600000,1702362600000,-2.2605416342557874,SL Hit
1702363380000,1702363380000,5.0,TP Hit
1702364040000,1702364040000,-0.8061944467408466,SL Hit
1702364520000,1702364520000,-3.775122578772425,SL Hit
1702364640000,1702364640000,-2.0281692777061835,SL Hit
1702365060000,1702365060000,-1.002332864307391,SL Hit
1702365300000,1702365300000,5.0,TP Hit
1702367400000,1702367400000,-2.480252936431498,SL Hit
1702367460000,1702367460000,-1.9816634409726248,SL Hit
1702367520000,1702367520000,-0.991901766617957,SL Hit
1702367580000,1702367580000,-0.9746230690070661,SL Hit
1702368000000,1702368000000,8.0867713161133,TP Hit
1702368180000,1702368180000,-4.132917164606624,SL Hit
1702368360000,1702368360000,-5.737693881725136,SL Hit
1702368420000,1702368420000,6.532349653178244,TP Hit
1702375440000,1702375440000,-1.5733647411252605,SL Hit
1702375560000,1702375560000,-1.6038386881846236,SL Hit
1702375980000,1702375980000,-1.1632510901181377,SL Hit
1702377240000,1702377240000,6.487330667165224,TP Hit
1702379700000,1702379700000,-1.1245089649964939,SL Hit
1702380240000,1702380240000,-4.136479551852972,SL Hit
1702381740000,1702381740000,6.961298190421076,TP Hit
1702390200000,1702390200000,9.813632579345722,TP Hit
1702392720000,1702392720000,-10.414870780710771,SL Hit
1702392960000,1702392960000,-9.973494100580865,SL Hit
1702394220000,1702394220000,54.27220332964498,TP Hit
1702406640000,1702406640000,-3.0900182129989844,SL Hit
1702409400000,1702409400000,-4.914795618788048,SL Hit
