exit_time,pnl,reason
1724700480000,-14.747329591722519,SL Hit (Same Bar)
1724767440000,-15.375290791002044,SL Hit (Same Bar)
1724777940000,33.59031892947678,TP Hit
1724779260000,-7.716322174543166,SL Hit (Same Bar)
1724782080000,-5.705199415351672,SL Hit (Same Bar)
1724786160000,-6.439978208363755,SL Hit (Same Bar)
1724787960000,-18.306251035057358,SL Hit
1724855040000,-27.65719487037859,SL Hit
1724866140000,-4.940523129567737,SL Hit (Same Bar)
1724870820000,26.5,Reverse
1724870820000,20.908976115460973,TP Hit (Same Bar)
1724873580000,22.631196536356583,TP Hit
1724942100000,-18.32534034000855,SL Hit
1724947500000,-15.628164364447002,SL Hit
1724958960000,59.712173690932104,TP Hit
1724960220000,-47.91233746607031,SL Hit
1725033300000,-16.76220442086924,SL Hit (Same Bar)
1725285720000,108.07227345710271,TP Hit
1725290940000,62.5,Reverse
1725295500000,-466.0,Reverse
1725314580000,-509.4353139419036,SL Hit
1725378840000,76.10360367289104,TP Hit
1725380160000,112.96883021996473,TP Hit
1725382080000,145.9450057600625,TP Hit
1725383520000,138.05434261226037,TP Hit
1725385620000,206.9815664349735,TP Hit
1725391740000,33.5,Reverse
1725391800000,102.399535511664,TP Hit
1725457380000,-517.0428114338065,SL Hit
1725465300000,-159.5,Reverse
1725465360000,107.72265219088877,TP Hit
1725466860000,141.5471307212283,TP Hit
1725470220000,86.55559434292081,TP Hit
1725470700000,104.17356807610486,TP Hit
1725472560000,75.15899965575954,TP Hit
1725475020000,-507.6096940925272,SL Hit
1725479400000,-501.5594105493219,SL Hit
1725480840000,125.6701393622352,TP Hit
1725543180000,-55.584944670903496,SL Hit (Same Bar)
1725544800000,-501.3554032910033,SL Hit
1725546360000,-513.3604595129,SL Hit
1725547800000,114.85415361482592,TP Hit
1725553500000,-521.7449543631956,SL Hit
1725555960000,-492.0341797610308,SL Hit
1725561000000,92.97880790715863,TP Hit
1725563940000,-504.80655863486027,SL Hit
1725565860000,-50.955990460526664,SL Hit
1725629760000,-526.4090833057344,SL Hit
1725635220000,191.87190418780665,TP Hit
1725637500000,-498.46199381638144,SL Hit
1725894420000,73.49301551363897,TP Hit
1725896160000,-508.96779692908603,SL Hit
1725898980000,101.85454689869948,TP Hit
1725975960000,110.35042977923877,TP Hit
1725978420000,-379.5,Reverse
1725979440000,-515.2128169881544,SL Hit
1725982200000,-502.7254605067428,SL Hit
1725986760000,75.5040226169076,TP Hit
1725990300000,96.20325015342678,TP Hit
1725995520000,136.0563115192199,TP Hit
1726014300000,-506.30296119128616,SL Hit
1726061640000,121.60347714170348,TP Hit
1726061760000,159.28532149740204,TP Hit
1726067100000,-45.60023549331527,SL Hit (Same Bar)
1726075860000,107.07449756038841,TP Hit
1726078320000,141.60282872889366,TP Hit
1726082220000,-391.5,Reverse
1726082580000,-525.5891646426389,SL Hit
1726148340000,-524.7646619096122,SL Hit
1726151940000,124.60009576134325,TP Hit
1726155960000,-523.432887545503,SL Hit
1726158540000,-514.2025121060724,SL Hit
1726159800000,116.71930514887208,TP Hit
1726165680000,155.585496347383,TP Hit
1726170120000,8.5,Reverse
1726170240000,171.0202947671205,TP Hit
1726171740000,-535.3144240076363,SL Hit
1726236120000,213.86630851324298,TP Hit
1726237200000,147.12517925928114,TP Hit
1726238340000,174.39745511615183,TP Hit
1726239000000,124.20665603321686,TP Hit
1726241880000,38.0,Reverse
1726242060000,120.89839619029954,TP Hit
1726494960000,205.0,Reverse
1726497420000,-263.5,Reverse
1726501260000,-421.0,Reverse
1726503540000,-405.5,Reverse
1726505700000,98.0,Reverse
1726505880000,108.30533676731284,TP Hit
1726507500000,87.0893583722791,TP Hit
1726508100000,105.88552040849754,TP Hit
1726510680000,-444.5,Reverse
1726512480000,-429.5,Reverse
1726515300000,-424.0,Reverse
1726527180000,-524.5048210667737,SL Hit
1726580940000,-527.9728945485767,SL Hit
1726582200000,148.24577154088183,TP Hit
1726583220000,104.01483400960569,TP Hit
1726584420000,-507.78165111961425,SL Hit
1726587840000,122.44116779731121,TP Hit
1726589160000,110.088714744139,TP Hit
1726591740000,202.20016015542205,TP Hit
1726593660000,-437.5,Reverse
1726594980000,-394.5,Reverse
1726599600000,-444.0,Reverse
1726599720000,109.58271337032784,TP Hit
1726601160000,137.77407406375278,TP Hit
1726616340000,-534.0424532827383,SL Hit
1726666560000,-543.763330162612,SL Hit
1726668840000,185.19191723050608,TP Hit
1726670220000,128.19337962877762,TP Hit
1726672920000,-525.7711870156854,SL Hit
