mode,status,outcome,pnl,reason,structure_age,reclaim_depth,is_expansion,retest_count,active_level,exit_time
SAMPLING_MODE,DEAD,LOSS,-9.06851566619298,SL Hit,21,2.75,True,1,17884.0,1714410360000
SAMPLING_MODE,DEAD,LOSS,-3.7509641158831073,SL Hit,38,-0.25,True,1,17910.0,1714411500000
SAMPLING_MODE,DEAD,LOSS,-9.567827153638063,SL Hit,22,3.5,True,1,17912.5,1714413600000
SAMPLING_MODE,DEAD,LOSS,-22.285094495906375,SL Hit (Same Bar),29,8.5,True,1,17843.75,1714417320000
SAMPLING_MODE,DEAD,LOSS,-27.929622156072583,SL Hit,36,11.5,True,1,17844.0,1714483980000
SAMPLING_MODE,DEAD,WIN,62.29003265903157,TP Hit,17,12.0,True,1,17887.5,1714486320000
SAMPLING_MODE,DEAD,WIN,32.32909911056049,TP Hit (Same Bar),21,4.75,True,1,17841.75,1714486380000
SAMPLING_MODE,DEAD,LOSS,-4.77077507192007,SL Hit (Same Bar),26,-0.25,True,1,17840.0,1714487940000
SAMPLING_MODE,DEAD,LOSS,-14.62320277633262,SL Hit (Same Bar),34,4.75,True,1,17817.75,1714489560000
SAMPLING_MODE,DEAD,WIN,24.32507653767243,TP Hit,17,3.25,True,1,17752.5,1714491300000
SAMPLING_MODE,SURVIVOR,WIN,17.13373062237224,TP Hit,18,2.0,False,1,17770.5,1714493820000
SAMPLING_MODE,DEAD,LOSS,-5.436811119274353,SL Hit (Same Bar),50,0.0,True,1,17732.25,1714494780000
SAMPLING_MODE,DEAD,LOSS,-14.430031207411956,SL Hit (Same Bar),29,4.0,True,1,17682.5,1714497300000
SAMPLING_MODE,DEAD,LOSS,-22.11635484706494,SL Hit,37,8.75,True,1,17723.25,1714499460000
SAMPLING_MODE,DEAD,LOSS,-12.195078777680465,SL Hit (Same Bar),58,4.0,True,1,17690.5,1714501740000
SAMPLING_MODE,DEAD,WIN,10.34532945121464,TP Hit (Same Bar),33,0.0,True,1,17687.0,1714503720000
SAMPLING_MODE,DEAD,WIN,18.233625195352943,TP Hit (Same Bar),34,2.25,True,1,17668.25,1714505100000
SAMPLING_MODE,DEAD,WIN,117.79985185315309,TP Hit,40,26.75,True,1,17704.5,1714506900000
SAMPLING_MODE,DEAD,WIN,17.52191698862589,TP Hit (Same Bar),44,2.25,True,1,17515.5,1714570260000
SAMPLING_MODE,DEAD,LOSS,-14.93915562940674,SL Hit (Same Bar),38,4.0,True,1,17491.25,1714570560000
SAMPLING_MODE,SURVIVOR,LOSS,-28.72355644790514,SL Hit,25,10.75,False,1,17468.25,1714572000000
SAMPLING_MODE,SURVIVOR,WIN,28.37438896430831,TP Hit,36,3.0,True,1,17495.0,1714574460000
SAMPLING_MODE,DEAD,LOSS,-24.43679660627822,SL Hit,22,9.5,True,1,17474.5,1714576080000
SAMPLING_MODE,DEAD,WIN,36.32427891169209,TP Hit,43,6.0,True,1,17412.25,1714579800000
SAMPLING_MODE,SURVIVOR,LOSS,-13.081170418387046,SL Hit (Same Bar),25,4.5,False,1,17421.25,1714583820000
SAMPLING_MODE,DEAD,LOSS,-19.362850556535705,SL Hit,23,7.5,True,1,17446.75,1714584540000
SAMPLING_MODE,SURVIVOR,LOSS,-18.37346631296532,SL Hit,18,7.0,False,1,17474.25,1714586400000
SAMPLING_MODE,DEAD,LOSS,-70.80914513061725,SL Hit,26,30.5,True,1,17528.0,1714588380000
SAMPLING_MODE,SURVIVOR,LOSS,-53.3939869636888,SL Hit,46,17.75,False,1,17643.0,1714592100000
SAMPLING_MODE,DEAD,LOSS,-22.07843432466325,SL Hit,23,8.25,True,1,17558.25,1714656840000
SAMPLING_MODE,SURVIVOR,LOSS,-9.06714477494097,SL Hit (Same Bar),29,0.5,False,1,17521.0,1714662120000
SAMPLING_MODE,DEAD,LOSS,-6.058605283840734,SL Hit (Same Bar),45,0.25,True,1,17562.25,1714665360000
SAMPLING_MODE,SURVIVOR,LOSS,-5.155104580400803,SL Hit (Same Bar),38,0.0,False,1,17542.75,1714669440000
SAMPLING_MODE,SURVIVOR,LOSS,-10.653163175855298,SL Hit (Same Bar),36,2.75,False,1,17616.5,1714673280000
SAMPLING_MODE,SURVIVOR,LOSS,-7.481492456441629,SL Hit (Same Bar),22,1.5,False,1,17635.75,1714674780000
SAMPLING_MODE,DEAD,LOSS,-5.940052522186306,SL Hit (Same Bar),32,0.25,True,1,17641.0,1714678560000
SAMPLING_MODE,DEAD,WIN,40.81808641615498,TP Hit,34,6.5,True,1,17679.75,1714680900000
SAMPLING_MODE,DEAD,LOSS,-12.357255907932997,SL Hit (Same Bar),29,3.0,True,1,17941.5,1714743120000
SAMPLING_MODE,SURVIVOR,LOSS,-23.57677863028221,SL Hit,40,6.5,False,1,17919.25,1714746000000
SAMPLING_MODE,SURVIVOR,LOSS,-23.61632261030172,SL Hit,57,9.0,False,1,17990.0,1714751580000
SAMPLING_MODE,DEAD,LOSS,-9.0,Reverse,52,21.5,True,1,18072.75,1715002320000
SAMPLING_MODE,DEAD,LOSS,-3.7520503866762738,SL Hit (Same Bar),44,0.5,True,1,18055.5,1715002320000
SAMPLING_MODE,DEAD,LOSS,-6.737211178071448,SL Hit (Same Bar),20,1.0,True,1,18087.0,1715005080000
SAMPLING_MODE,DEAD,LOSS,-9.631713220893287,SL Hit (Same Bar),31,3.25,True,1,18087.75,1715007780000
SAMPLING_MODE,DEAD,LOSS,-2.3700033601926407,SL Hit (Same Bar),53,0.0,True,1,18111.0,1715009760000
SAMPLING_MODE,DEAD,WIN,14.52058514325472,TP Hit,79,1.75,True,1,18077.75,1715012820000
SAMPLING_MODE,SURVIVOR,LOSS,-9.149384133590502,SL Hit (Same Bar),74,3.0,False,1,18121.75,1715014920000
SAMPLING_MODE,DEAD,LOSS,-8.143635801723576,SL Hit,45,3.0,True,1,18125.75,1715017860000
SAMPLING_MODE,DEAD,WIN,12.798032913691712,TP Hit,21,1.75,True,1,18124.75,1715019780000
SAMPLING_MODE,DEAD,LOSS,-7.685020496122888,SL Hit,28,2.5,True,1,18139.0,1715020440000
SAMPLING_MODE,DEAD,WIN,18.5,Reverse,34,6.25,True,1,18130.5,1715024220000
SAMPLING_MODE,DEAD,LOSS,-7.680700492419419,SL Hit,26,2.25,True,1,18149.0,1715024400000
SAMPLING_MODE,DEAD,LOSS,-1.97349587987992,SL Hit (Same Bar),20,0.0,True,1,18205.0,1715088660000
SAMPLING_MODE,DEAD,LOSS,-27.320595040328044,SL Hit,36,11.0,True,1,18189.75,1715090460000
SAMPLING_MODE,SURVIVOR,LOSS,-11.289650623504713,SL Hit,16,4.25,False,1,18256.5,1715095320000
SAMPLING_MODE,DEAD,WIN,12.989250526501564,TP Hit,30,1.5,True,1,18240.5,1715096280000
SAMPLING_MODE,DEAD,LOSS,-5.105374933045823,SL Hit (Same Bar),48,1.25,True,1,18262.25,1715098260000
SAMPLING_MODE,SURVIVOR,LOSS,-8.126619896152988,SL Hit (Same Bar),16,2.75,False,1,18248.25,1715099580000
